datetime,co2content,temperature
2023-11-29 04:05:33,577.07,18.29
2023-11-29 04:17:47,572.0,18.29
2023-11-29 04:30:01,567.07,18.31
2023-11-29 04:42:15,565.38,18.29
2023-11-29 04:54:29,561.46,18.29
2023-11-29 05:06:43,549.07,18.3
2023-11-29 05:18:57,555.15,18.35
2023-11-29 05:31:11,559.07,18.38
2023-11-29 05:43:25,546.76,18.37
2023-11-29 05:55:39,539.84,18.34
2023-11-29 06:07:53,531.07,18.35
2023-11-29 06:20:07,533.38,18.37
2023-11-29 06:32:21,534.53,18.36
2023-11-29 06:44:35,530.23,18.36
2023-11-29 07:05:47,523.69,18.31
2023-11-29 07:18:02,519.15,18.32
2023-11-29 07:30:15,520.38,18.33
2023-11-29 07:42:29,509.84,18.33
2023-11-29 07:54:43,509.76,18.31
2023-11-29 08:06:57,501.0,18.31
2023-11-29 08:19:11,506.76,18.3
2023-11-29 08:31:25,652.92,18.37
2023-11-29 08:43:40,917.3,18.39
2023-11-29 08:55:54,1211.61,18.67
2023-11-29 09:08:08,1468.84,18.81
2023-11-29 09:20:21,1723.23,18.78
2023-11-29 09:32:36,1911.15,19.01
2023-11-29 09:44:49,1936.3,19.0
2023-11-29 09:57:03,2012.38,19.03
2023-11-29 10:09:18,2144.69,19.01
2023-11-29 10:21:32,2079.38,18.88
2023-11-29 10:33:46,2018.46,18.76
2023-11-29 10:46:00,1979.84,18.66
2023-11-29 10:58:14,1969.53,18.65
2023-11-29 11:10:27,1956.38,18.66
2023-11-29 11:22:42,1922.46,18.67
2023-11-29 11:34:56,1906.3,18.65
2023-11-29 11:47:10,1873.84,18.65
2023-11-29 11:59:25,1886.46,18.68
2023-11-29 12:11:39,2257.46,18.78
2023-11-29 12:23:53,2625.61,18.9
2023-11-29 12:36:07,2757.61,18.99
2023-11-29 12:48:21,2884.0,19.12
2023-11-29 13:00:35,3099.84,19.24
2023-11-29 13:12:49,3413.15,19.36
2023-11-29 13:25:04,3659.0,19.48
2023-11-29 13:37:18,3889.53,19.56
2023-11-29 13:49:32,3877.92,19.53
2023-11-29 14:01:46,3898.0,19.45
2023-11-29 14:14:00,3828.23,19.38
2023-11-29 14:26:14,3778.69,19.36
2023-11-29 14:38:31,3736.23,19.34
2023-11-29 14:50:42,3680.46,19.35
2023-11-29 15:02:56,3621.53,19.36
2023-11-29 15:15:09,3560.46,19.31
2023-11-29 15:27:24,3497.0,19.3
2023-11-29 15:39:38,3455.84,19.27
2023-11-29 15:51:52,3392.46,19.23
2023-11-29 16:04:06,3330.69,19.22
2023-11-29 16:16:20,3314.3,19.19
2023-11-29 16:28:34,3250.3,19.19
2023-11-29 16:40:48,3211.46,19.18
2023-11-29 16:53:02,3139.23,19.15
2023-11-29 17:05:16,3098.69,19.11
2023-11-29 17:17:33,3057.23,19.1
2023-11-29 17:29:44,3009.92,19.08
2023-11-29 17:41:57,2973.46,19.06
2023-11-29 17:54:12,2921.3,19.03
2023-11-29 18:06:26,2888.84,19.01
2023-11-29 18:18:40,2846.23,19.0
2023-11-29 18:30:54,2786.46,18.99
2023-11-29 18:43:08,2755.23,18.99
2023-11-29 18:55:22,2718.92,18.96
2023-11-29 19:07:36,2665.0,18.94
2023-11-29 19:19:53,2642.23,18.93
2023-11-29 19:32:04,2603.3,18.91
2023-11-29 19:44:18,2554.61,18.91
2023-11-29 19:56:32,2521.53,18.9
2023-11-29 20:08:46,2494.69,18.86
2023-11-29 20:21:00,2447.3,18.86
2023-11-29 20:33:14,2427.61,18.86
2023-11-29 20:45:28,2389.69,18.86
2023-11-29 20:57:42,2342.61,18.87
2023-11-29 21:09:59,2301.92,18.86
2023-11-29 21:22:10,2289.53,18.84
2023-11-29 21:34:24,2250.53,18.86
2023-11-29 21:46:37,2219.84,18.87
2023-11-29 21:58:51,2189.84,18.88
2023-11-29 22:11:06,2157.92,18.74
2023-11-29 22:23:20,2116.46,18.84
2023-11-29 22:35:34,2079.69,18.81
2023-11-29 22:47:48,2046.53,18.83
2023-11-29 23:00:02,2023.53,18.82
2023-11-29 23:12:16,1997.84,18.84
2023-11-29 23:24:30,1973.46,18.83
2023-11-29 23:36:44,1945.15,18.82
2023-11-29 23:48:57,1926.38,18.82
2023-11-30 00:01:12,1907.07,18.8
2023-11-30 00:13:25,1888.53,18.81
2023-11-30 00:25:43,1855.69,18.81
2023-11-30 00:37:53,1829.38,18.82
2023-11-30 00:50:08,1810.15,18.83
2023-11-30 01:02:22,1784.53,18.83
2023-11-30 01:14:36,1767.0,18.82
2023-11-30 01:26:50,1733.92,18.83
2023-11-30 01:39:03,1727.46,18.84
2023-11-30 01:51:18,1694.76,18.85
2023-11-30 02:03:32,1679.84,18.81
2023-11-30 02:15:46,1665.84,18.8
2023-11-30 02:28:00,1635.38,18.82
2023-11-30 02:40:13,1613.76,18.82
